FDA_APPROVED,CT_TOX,standardised_smiles,Identifier
1.0,0.0,Brc1c(NC2=NCCN2)ccc2nccnc12,[146]
1.0,0.0,C#CC(O)(/C=C/Cl)CC,[1100]
1.0,0.0,C#CC1(OC(=N)O)CCCCC1,[15]
1.0,0.0,C#CCC(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,[17]
1.0,0.0,C#CCN(C)Cc1ccccc1,[600]
1.0,0.0,C#CCN(C)[C@H](C)Cc1ccccc1,[508]
1.0,0.0,C#CCN[C@@H]1CCc2ccccc21,[16]
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,[1061]
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,"[470, 471]"
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,[1063]
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,[1062]
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,[472]
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,[459]
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,[460]
1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,[461]
1.0,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,[832]
1.0,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,[1064]
1.0,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,[840]
0.0,1.0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"[1465, 1466, 1467]"
1.0,0.0,C#N,"[18, 19]"
1.0,0.0,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(O)=N1,[1034]
1.0,1.0,C/C=C/C[C@@H](C)[C@@H](O)C1C(O)=NC(CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,[1070]
1.0,0.0,C1CNCCN1,[360]
1.0,0.0,C=C(C)[C@@H]1CC[C@@]2(C1)C(C)=CCC[C@@H]2C,[541]
1.0,0.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,[1105]
1.0,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,[978]
1.0,0.0,C=C/C=C/CC1=C(C)C(OC(=O)C2[C@@H](C=C(C)C)C2(C)C)CC1=O,[917]
1.0,0.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,[493]
1.0,0.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,[491]
0.0,1.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,[511]
1.0,0.0,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,[987]
1.0,0.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,[492]
1.0,0.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,[512]
1.0,0.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,[513]
0.0,1.0,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,[418]
1.0,0.0,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,[477]
0.0,1.0,C=C1N(CCCCCC(=O)O)c2ccccc2C1(C)C,[877]
1.0,0.0,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(O)nc(=N)[nH]c21,[889]
1.0,0.0,C=C1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(=N)O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@H]12,[568]
1.0,0.0,C=CC(N)CCC(=O)O,[1116]
1.0,0.0,C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(=N)[nH]3)C2SC1,[1152]
1.0,0.0,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(=N)[nH]3)C2SC1,[1151]
1.0,0.0,C=CCC1(C(C)C#CCC)C(=O)N(C)C(=O)N=C1O,[1099]
