Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,standardised_smiles,Identifier
Tetrabromomethane,-4.063,1.0,331.62699999999995,0.0,0.0,0.0,0.0,-3.14,BrC(Br)(Br)Br,[722]
Tribromomethane,-2.904,1.0,252.731,0.0,0.0,0.0,0.0,-1.91,BrC(Br)Br,[484]
Dibromomethane,-1.883,1.0,173.83499999999998,0.0,0.0,0.0,0.0,-1.17,BrCBr,[614]
"1,2-Dibromoethane",-2.102,1.0,187.862,0.0,0.0,1.0,0.0,-1.68,BrCCBr,[1012]
"1,2,4,5-Tetrabromobenzene",-6.001,1.0,393.698,0.0,1.0,0.0,0.0,-6.98,Brc1cc(Br)c(Br)cc1Br,[268]
"1,3,5-Tribromobenzene",-5.27,1.0,314.802,0.0,1.0,0.0,0.0,-5.6,Brc1cc(Br)cc(Br)c1,[645]
"1,2,4-tribromobenzene",-5.144,1.0,314.802,0.0,1.0,0.0,0.0,-4.5,Brc1ccc(Br)c(Br)c1,[423]
"1,4-Dibromobenzene",-4.298,1.0,235.906,0.0,1.0,0.0,0.0,-4.07,Brc1ccc(Br)cc1,[501]
p-Bromoiodobenzene,-4.754,1.0,282.90599999999995,0.0,1.0,0.0,0.0,-4.56,Brc1ccc(I)cc1,[445]
,-4.033194541931152,1.0,164.7774658203125,0.0,2.0023515224456787,0.0,0.0,-4.031307220458984,Brc1ccc2ccccc2c1,"[222, 554]"
"1,3-Dibromobenzene",-4.298,1.0,235.906,0.0,1.0,0.0,0.0,-3.54,Brc1cccc(Br)c1,[787]
1-Bromonapthalene,-4.434,1.0,207.07,0.0,2.0,0.0,0.0,-4.35,Brc1cccc2ccccc12,[139]
Bromobenzene,-3.345,1.0,157.01,0.0,1.0,0.0,0.0,-2.55,Brc1ccccc1,[714]
"1,2-Dibromobenzene",-4.172,1.0,235.906,0.0,1.0,0.0,0.0,-3.5,Brc1ccccc1Br,[1031]
Methane,-0.636,0.0,16.043,0.0,0.0,0.0,0.0,-0.9,C,[934]
Ethyne,-0.252,1.0,26.038,0.0,0.0,0.0,0.0,0.29,C#C,[953]
Propyne,-0.672,1.0,40.065000000000005,0.0,0.0,0.0,0.0,-0.41,C#CC,[202]
Buturon,-3.199,1.0,236.702,1.0,1.0,2.0,32.34,-3.9,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,[905]
