Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications",standardised_smiles,Identifier
0,1.0,0,1.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,1,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,Brc1c(NC2=NCCN2)ccc2nccnc12,[344]
0,1.0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C,[53]
1,0.0,0,1.0,1.0,1.0,1.0,0,0,1,1.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,C#CC1(O)CCC2C3C(C)C=C4CC(=O)CCC4C3CCC21C,[1110]
1,0.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,[892]
0,1.0,1,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC,[894]
1,1.0,0,1.0,1.0,1.0,1.0,0,0,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,[472]
0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0.0,0,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,1.0,C#CCC(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,[88]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,0.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,C#CCN(C)C(C)Cc1ccccc1,[1049]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,C#CCNC1CCc2ccccc21,[1367]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,1,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,C#C[C@]1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,[3]
