logS,standardised_smiles,Identifier
-2.732,BrC(Br)C(Br)Br,[1621]
,BrC1CCCCC1,"[1064, 2012]"
-1.32,BrC=CBr,[978]
,BrCCCBr,"[1044, 2037]"
-5.553,Brc1ccc(-c2ccccc2)cc1,[1737]
-5.04,Brc1cccc(Br)c1Br,[771]
-0.8809999999999999,Brc1ccccn1,[2026]
-4.232,C#CC(C)(C)N=C(O)c1cc(Cl)cc(Cl)c1,[3113]
1.075,C#CC(C)(C)O,[2130]
0.115,C#CC(C)(O)CC,[1589]
,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,"[734, 1484]"
-1.825,C#CC1(OC(=N)O)CCCCC1,[2239]
-1.464,C#CC=C,[2743]
-1.747,C#CCCCC#C,[2908]
-2.983,C#CCCCCCC#C,[2909]
1.251,C#CCO,[1967]
-5.846,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,[2902]
-2.35,C#Cc1ccccc1,[2490]
1.568,C#N,[1513]
-5.792999999999999,C(=Cc1ccccc1)c1ccccc1,[1893]
,C1=CC=CCC=C1,"[374, 2517]"
,C1CCN2CC3CC(CN4CCCCC34)C2C1,"[320, 1717]"
,C1CCNC1,"[3, 2218]"
,C1CCNCC1,"[12, 2081]"
0.603,C1CN2CCN1CC2,[2348]
,C1CNCCN1,"[11, 2078]"
1.356,C1CO1,[1531]
,C1COCCN1,"[881, 2082]"
1.055,C1COCCO1,[2220]
1.13,C1COCO1,[2738]
1.065,C1OC1C1CO1,[2821]
0.288,C1OCOCO1,[2080]
,C=C(C(=O)O)c1ccccc1,"[352, 2431]"
-0.422,C=C(C)C#N,[2242]
,C=C(C)C(=O)O,"[902, 1625]"
,C=C(C)C(=O)OC,"[141, 1634]"
-2.153,C=C(C)C(=O)OC(C)(C)C,[2583]
-1.325,C=C(C)C(=O)OCC,[1805]
-2.039,C=C(C)C(=O)OCC(C)C,[1809]
-2.25,C=C(C)C(=O)OCCCC,[1810]
-0.114,C=C(C)C(=O)OCCO,[2775]
-1.901,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,[2031]
-2.18,C=C(C)C1CCC(C)C(=O)C1,[1053]
-0.039,C=C(C)C=O,[1606]
-3.008,C=C(C)c1ccccc1,[1824]
-4.282,C=C(CC(Cl)(Cl)Cl)c1ccccc1,[3093]
-1.713,C=C(Cl)CCl,[1609]
-0.706,C=C(F)F,[1542]
-4.436,C=C(c1ccccc1)c1ccccc1,[2478]
-0.983,C=C1C=CC(=O)O1,[1988]
,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,"[314, 1580]"
0.184,C=C1CCOC1=O,[2519]
-1.275,C=CBr,[2622]
,C=CC(=N)O,"[886, 1614]"
-0.83,C=CC(=O)CCC,[147]
,C=CC(=O)OCC,"[131, 2288]"
,C=CC(=O)OCC(C)C,"[198, 1944]"
0.8859999999999999,C=CC(=O)OCC(C)O,[2798]
-1.807,C=CC(=O)OCCCC,[2290]
0.935,C=CC(=O)OCCO,[2766]
-4.717,C=CC(=O)Oc1c(Br)cc(Cl)c2cccnc12,[3158]
0.02,C=CC(O)CC,[2666]
-3.335,C=CC1CC=CCC1,[1864]
,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,"[494, 590]"
,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,"[535, 538]"
,C=CCBr,"[996, 1951]"
,C=CCC(C)C,"[1141, 2744]"
-2.247,C=CCCBr,[2991]
-3.34,C=CCCCC=C,[2948]
,C=CCCCCCCCCC(=O)O,"[597, 2119]"
,C=CCCl,"[981, 1958]"
1.243,C=CCN,[1963]
,C=CCN(CC=C)C(=O)C(Cl)Cl,"[271, 3179]"
-0.945,C=CCN(CC=C)C(=O)CCl,[1749]
-8.9,C=CCN(CCC#N)c1cc(N=C(C)O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC,[3278]
-1.695,C=CCN=C=S,[1384]
-0.294,C=CCNC(=N)S,[2034]
-0.053,C=CCNCC=C,[2223]
1.236,C=CCO,[1966]
,C=CCOC(=O)c1ccccc1C(=O)OCC=C,"[546, 2253]"
0.092,C=CCOCC1CO1,[1948]
-0.02,C=CCOCC=C,[2543]
-0.276,C=CF,[1520]
-0.634,C=COC(C)=O,[1980]
-1.261,C=COC=C,[2052]
-1.4780000000000002,C=COCC(F)(F)F,[2392]
-1.524,C=COCCCC,[2095]
-3.123,C=Cc1ccc(C)cc1,[2680]
-3.123,C=Cc1cccc(C)c1,[1880]
1.121,C=O,[1311]
-2.7710000000000004,CC#CCCCC,[2808]
-0.2289999999999999,CC(=CC(=O)O)C(=O)O,[1806]
0.336,CC(=N)S,[1450]
0.366,CC(=O)C(C)=O,[2394]
,CC(=O)C(N)C(O)O,"[65, 1498]"
1.045,CC(=O)C(O)O,[1318]
0.193,CC(=O)C1CCOC1=O,[2463]
-0.531,CC(=O)C=C(C)C,[2295]
-1.63,CC(=O)CC(=O)C(C)(C)C,[1009]
-1.6,CC(=O)CC(=O)CC(C)C,[263]
,CC(=O)CC(C)=O,"[48, 2212]"
-0.45,CC(=O)CC1CCCCN1,[98]
,CC(=O)CCC(C)C,"[216, 2059]"
,CC(=O)N(C)c1ccccc1,"[952, 2569]"
-3.59,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,[617]
-1.83,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,[313]
,CC(=O)O,"[2, 1461]"
-1.144,CC(=O)OC(C)(C)C,[2505]
0.07,CC(=O)OC(C)=O,[1987]
-2.045,CC(=O)OC(C)CC(C)C,[2011]
-4.9,CC(=O)OC1(C(=O)CO)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[760]
,CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C=CC4(C)C3CCC21C,"[766, 3047]"
-4.46,CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,[724]
-1.67,CC(=O)OC1CCCCC1,[282]
-0.674,CC(=O)OCCBr,[2782]
-4.7,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,[748]
0.086,CC(=O)OCCOC(C)=O,[2099]
-1.685,CC(=O)OCc1ccccc1,[2286]
,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],"[1223, 2917]"
-2.589,CC(=O)Oc1ccc(Br)cc1C(=O)O,[2822]
,CC(=O)Oc1ccc(N=C(C)O)cc1,"[328, 2928]"
-2.797,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,[2546]
,CC(=O)Oc1ccccc1C(=O)O,"[1292, 1332]"
-3.394,CC(=O)Oc1ccccc1C(=O)OCS(C)(=O)=O,[3291]
-4.195,CC(=O)Oc1ccccc1C(=O)Oc1ccc(N=C(C)O)cc1,[2987]
-3.537,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,[2236]
-1.226,CC(=O)c1c(O)cc(C)oc1=O,[2466]
,CC(=O)c1ccc(N)cc1,"[1008, 1851]"
-2.022,CC(=O)c1ccc(O)c(O)c1O,[2473]
-1.138,CC(=O)c1ccc(O)cc1,[1852]
-2.06,CC(=O)c1ccc(S(=O)(=O)NC(O)=NC2CCCCC2)cc1,[351]
-1.28,CC(=O)c1cccc(N)c1,[208]
,CC(Br)CBr,"[1051, 1599]"
0.76,CC(C(=O)O)C(=O)O,[2461]
,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,"[727, 2988]"
,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,"[637, 3097]"
-0.1669999999999999,CC(C)(C(=O)O)C(=O)O,[2627]
-0.29,CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,[84]
-2.359,CC(C)(C)Br,[2450]
-3.337,CC(C)(C)C,[2411]
,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,"[673, 1643]"
-0.6729999999999999,CC(C)(C)C(=O)O,[1561]
,CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,"[1229, 2807]"
,CC(C)(C)C(C)(C)O,"[128, 2624]"
-3.924,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,[3294]
-4.562,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,[3289]
-4.829,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,[3239]
-3.392,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,[3241]
,CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,"[804, 2452]"
,CC(C)(C)CCCO,"[248, 2951]"
-0.8,CC(C)(C)COC(=N)O,[142]
-1.507,CC(C)(C)Cl,[2451]
1.136,CC(C)(C)N,[1550]
,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,"[199, 3085]"
1.13,CC(C)(C)O,[1551]
0.1,CC(C)(C)OC(=N)O,[52]
-3.165,CC(C)(C)OOC(C)(C)C,[2058]
-3.804,CC(C)(C)c1ccc(C(=O)O)cc1,[1821]
-1.92,CC(C)(C)c1ccc(O)c(O)c1,[1818]
,CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,"[1170, 2486]"
-1.346,CC(C)(O)C(Cl)(Cl)Cl,[1388]
-1.944,CC(C)(O)CCS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,[3311]
-2.838,CC(C)(O)CCSc1ccc(S(N)(=O)=O)cc1,[3308]
,CC(C)(S)C(N)C(=O)O,"[69, 1350]"
,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,"[1113, 1629]"
-4.8580000000000005,CC(C)=CC1C(C(=O)OCn2c(O)c3c(c2O)CCC=C3)C1(C)C,[3025]
1.236,CC(C)=O,[1477]
,CC(C)C(=O)O,"[46, 1623]"
-7.242999999999999,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,[3225]
,CC(C)C(C)(C)O,"[919, 2623]"
-0.39,CC(C)C(C)CO,[92]
-3.8,CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,[1178]
0.091,CC(C)C=O,[1605]
-1.731,CC(C)CC(=O)CC(C)C,[2010]
-0.4,CC(C)CC(=O)O,[2445]
-1.6,CC(C)CC(C)CO,[266]
-0.785,CC(C)CC(N)C(=O)O,[1445]
-2.1590000000000003,CC(C)CC(O)CC(C)C,[2009]
,CC(C)CCBr,"[512, 1972]"
,CC(C)CCC(C)O,"[222, 2711]"
-2.487,CC(C)CCCCCCO,[2913]
,CC(C)CCOC(=O)c1ccccc1O,"[1134, 1675]"
-2.898,CC(C)CCOCCC(C)C,[2515]
1.136,CC(C)CN,[1603]
-0.3,CC(C)COC(=N)O,[87]
-2.403,CC(C)COC(=O)C(C)C,[1808]
-2.944,CC(C)COC(=O)c1ccc(N)cc1,[1756]
,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,"[745, 1654]"
-3.99,CC(C)Cc1ccc(C(C)C(=O)O)cc1,[662]
-3.04,CC(C)Cc1ccc(C(C)C(O)=NO)cc1,[530]
1.228,CC(C)N,[1538]
-1.001,CC(C)N(N=O)C(C)C,[2639]
,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,"[476, 3118]"
-2.7060000000000004,CC(C)N=c1[nH]c(Cl)nc(=N)[nH]1,[3006]
0.036,CC(C)NC(C)C,[1984]
-3.782,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,[3217]
-4.4335,CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,[3232]
,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"[1227, 3000]"
-2.877,CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,[2643]
-2.366,CC(C)OC(C)(C)C,[3079]
-3.0010000000000003,CC(C)OC(O)=Nc1ccccc1,[2193]
0.982,CC(C)OCCO,[2035]
-2.858,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,[3122]
-0.052,CC(C)OP(C)(=O)OC(C)C,[2818]
-4.532,CC(C)Oc1cccc(N=C(O)c2ccccc2C(F)(F)F)c1,[3271]
-3.036,CC(C)c1ccc(C(=O)O)cc1,[2489]
-5.297999999999999,CC(C)c1ccc2ccccc2c1,[2869]
0.703,CC(CC(=O)O)C(=O)O,[2436]
,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,"[588, 1637]"
,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,"[628, 1210, 2246]"
-4.35,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CC(O)C12C,[710]
