aeid,assay_name
2,ACEA_ER_80hr
4,APR_HepG2_CellCycleArrest_1hr
6,APR_HepG2_CellLoss_1hr
8,APR_HepG2_MicrotubuleCSK_1hr
10,APR_HepG2_MitoMass_1hr
12,APR_HepG2_MitoMembPot_1hr
14,APR_HepG2_MitoticArrest_1hr
16,APR_HepG2_NuclearSize_1hr
18,APR_HepG2_P-H2AX_1hr
20,APR_HepG2_p53Act_1hr
22,APR_HepG2_StressKinase_1hr
24,APR_HepG2_CellCycleArrest_24hr
26,APR_HepG2_CellLoss_24hr
28,APR_HepG2_MicrotubuleCSK_24hr
30,APR_HepG2_MitoMass_24hr
32,APR_HepG2_MitoMembPot_24hr
34,APR_HepG2_MitoticArrest_24hr
36,APR_HepG2_NuclearSize_24hr
38,APR_HepG2_P-H2AX_24hr
40,APR_HepG2_p53Act_24hr
42,APR_HepG2_StressKinase_24hr
44,APR_HepG2_CellCycleArrest_72hr
46,APR_HepG2_CellLoss_72hr
48,APR_HepG2_MicrotubuleCSK_72hr
50,APR_HepG2_MitoMass_72hr
52,APR_HepG2_MitoMembPot_72hr
54,APR_HepG2_MitoticArrest_72hr
56,APR_HepG2_NuclearSize_72hr
58,APR_HepG2_P-H2AX_72hr
60,APR_HepG2_p53Act_72hr
72,ATG_E_Box_CIS
73,ATG_E2F_CIS
74,ATG_EGR_CIS
75,ATG_ERE_CIS
76,ATG_Ets_CIS
77,ATG_FoxA2_CIS
62,APR_HepG2_StressKinase_72hr
63,ATG_Ahr_CIS
64,ATG_AP_1_CIS
65,ATG_AP_2_CIS
66,ATG_BRE_CIS
67,ATG_C_EBP_CIS
68,ATG_CMV_CIS
69,ATG_CRE_CIS
78,ATG_FoxO_CIS
79,ATG_GATA_CIS
80,ATG_GLI_CIS
81,ATG_GRE_CIS
82,ATG_HIF1a_CIS
83,ATG_HNF6_CIS
84,ATG_HSE_CIS
85,ATG_IR1_CIS
70,ATG_DR4_LXR_CIS
71,ATG_DR5_RAR_CIS
86,ATG_ISRE_CIS
87,ATG_M_06_CIS
88,ATG_M_19_CIS
89,ATG_M_32_CIS
90,ATG_M_61_CIS
91,ATG_MRE_CIS
92,ATG_Myb_CIS
