dtxsid,aeid,hitc_clean,active
DTXSID0021337,678,0.0,0.0
DTXSID0022018,678,,
DTXSID0024345,678,0.0,0.0
DTXSID0032605,678,5.532956473797195e-07,0.0
DTXSID0034566,678,0.0,0.0
DTXSID0034695,678,0.0,0.0
DTXSID0034803,678,,
DTXSID0037495,678,0.0,0.0
DTXSID1024174,678,0.00023482888996268755,0.0
DTXSID1034210,678,0.0,0.0
DTXSID1034503,678,,
DTXSID2021151,678,0.0,0.0
DTXSID2032554,678,0.0,0.0
DTXSID2032637,678,0.0,0.0
DTXSID2034673,678,0.0,0.0
DTXSID2040361,678,0.0,0.0
DTXSID3022455,678,0.0,0.0
DTXSID4024276,678,0.0,0.0
DTXSID4024436,678,0.9999844992025986,1.0
DTXSID4026684,678,,
DTXSID4027236,678,0.0,0.0
DTXSID5020601,678,1.1684116621375695e-05,0.0
DTXSID5020653,678,0.9973110696076292,1.0
DTXSID5023950,678,0.0,0.0
DTXSID5032577,678,6.811907189341545e-08,0.0
DTXSID5032600,678,,
DTXSID5037523,678,8.719862823393883e-06,0.0
DTXSID6021248,678,0.0,0.0
DTXSID6021456,678,0.317773776774211,0.0
DTXSID6024048,678,,
DTXSID6024913,678,,
DTXSID6032356,678,,
DTXSID6034392,678,0.0,0.0
DTXSID6034712,678,0.0,0.0
DTXSID7022332,678,0.0,0.0
DTXSID7023980,678,0.0,0.0
DTXSID8020040,678,,
DTXSID8020127,678,0.0,0.0
DTXSID9020112,678,0.0,0.0
DTXSID9020407,678,0.00011558416074646766,0.0
DTXSID9020794,678,,
DTXSID9023914,678,0.0,0.0
DTXSID9029221,678,0.0,0.0
DTXSID9032329,678,0.0,0.0
DTXSID9033058,678,,
DTXSID9034737,678,,
DTXSID9034816,678,1.0946043173024888e-05,0.0
DTXSID9035204,678,2.9353777303646513e-07,0.0
DTXSID9040001,678,3.1396181827254842e-18,0.0
