dtxsid,smiles
DTXSID001335119,
DTXSID001351802,
DTXSID001044510,
DTXSID00190950,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID001351795,
DTXSID001339559,
DTXSID001334842,
DTXSID00192353,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00194615,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C
DTXSID0020020,CC(=O)NC1=CC=C(CC(O)=O)C=C1
DTXSID0020022,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O
DTXSID0020024,CCOC(OCC)C=C
DTXSID0020072,Cl.NC1=CC=C(C=C1)C1=CC=CC=C1
DTXSID0020074,NCC1(CC(O)=O)CCCCC1
DTXSID0020070,NCCCCCC(O)=O
DTXSID0020101,
DTXSID0020076,NC1=NNC=N1
DTXSID0020103,[O--].[O--].[O--].[As+3].[As+3]
DTXSID0020105,[Na+].[H][C@@]1(OC(=O)C(O)=C1[O-])[C@@H](O)CO
DTXSID0020151,CC(=O)OCC1=CC=CC=C1
DTXSID0020107,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
DTXSID0020155,S=C=NCC1=CC=CC=C1
DTXSID0020153,ClCC1=CC=CC=C1
DTXSID0020157,Cl.Cl.NNCC1=CC=CC=C1
DTXSID0020232,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DTXSID0020236,[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O
DTXSID0020238,CS(O)(=O)=O.CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1
DTXSID0020280,[O-][N+](=O)C1=C(Cl)C=CC=C1
DTXSID0020282,NC1=CC(N)=C(Cl)C=C1
DTXSID0020286,CC1=C(Cl)C=C(N)C=C1
DTXSID0020284,OS(O)(=O)=O.NC1=CC=C(N)C(Cl)=C1
DTXSID0020288,Cl.CC1=C(N)C=CC(Cl)=C1
DTXSID0020311,CN(C)C(=O)NC1=CC=C(Cl)C=C1
DTXSID0020315,[O-][N+](=O)C(Cl)(Cl)Cl
DTXSID0020319,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl
DTXSID0020363,ON=C1CCCC1
DTXSID0020361,[Cl-].[NH3+]C1CCCCC1
DTXSID0020367,Cl.N[C@@H](CS)C(O)=O
